feature_name,feature_importance,label
JAILNAME_CPMSFUSAGASUGA,36,0
JAILNAME_EPCGUAMO,35,0
JAILNAME_CPMSCHOCONTA,35,0
JAILNAME_EPMSCCAQUEZA,35,0
JAILNAME_EPMSCTUQUERRES,35,0
JAILNAME_EPMSCCAICEDONIA,35,0
JAILNAME_EPMSCTUMACO,35,0
JAILNAME_EPMSCCUCUTAERE,35,0
JAILNAME_RMPOPAYAN,35,0
JAILNAME_CPMSMONIQUIRA,34,0
JAILNAME_CPMSMELGAR,34,0
JAILNAME_EPMSCVILLETA,34,0
JAILNAME_EPMSCANSERMA,34,0
JAILNAME_EPMSCELBANCO,33,0
JAILNAME_EPMSCELBORDO,33,0
JAILNAME_EPMSCFRESNO,33,0
JAILNAME_EPMSCRIOSUCIO,33,0
JAILNAME_EPMSCMOCOA,33,0
JAILNAME_EPMSCPUERTOTEJADA,33,0
JAILNAME_EPMSCAGUADAS,33,0
JAILNAME_CPMSGARAGOA,33,0
JAILNAME_CPMSCHIQUINQUIRA,33,0
JAILNAME_EPMSCFACATATIVA,32,0
JAILNAME_EPMSCLAUNION,32,0
JAILNAME_EPMSCPUERTOBOYACA,32,0
EDUC_LEVEL_Firstcycle,32,0
JAILNAME_RMARMENIA,31,0
JAILNAME_EPMSCBOLIVARCAUCA,31,0
JAILNAME_EPMSCSALAMINA,31,0
JAILNAME_RMPEDREGALMEDELLIN,30,0
JAILNAME_EPMSCPACORA,29,0
JAILNAME_ECARMEROGUAYABAL,29,0
JAILNAME_EPMSCSILVIA,28,0
JAILNAME_EPMSCPENSILVANIA,28,0
JAILNAME_EPMSCROLDANILLO,27,0
JAILNAME_EPMSCIBAGUEERE,27,0
JAILNAME_CPMSGACHETA,25,0
JAILNAME_CPMSPURIFICACION,25,0
JAILNAME_EPMSCLETICIA,25,0
JAILNAME_RMDEJAMUNDI,25,0
ACTIVIDADES_ESTUDIO,24,0
JAILNAME_EPMSCMALAGA,23,0
JAILNAME_EPMSCGUATEQUE,23,0
JAILNAME_ECSABANALARGAERE,22,0
REGIONALNME_ORIENTE,22,0
JAILNAME_CPMSSANVICENTEDECHUCURI,21,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEASINDICADOS,20,0
JAILNAME_CPMSPUERTOTRIUNFO,19,0
JAILNAME_EPMSCCALOTO,16,0
JAILNAME_RMCUCUTA,13,0
JAILNAME_EPMSCCIENAGA,12,0
GENERO,9,0
DELITO_COMP_MANUFACTURINGTRAFFICORSUPPORTOFNARCOTICS,8,0
DELITO_COMP_AGRA_HOMICIDE,8,0
DELITO_COMP_CONCERTFORDELINQUIR,8,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALSINDICADOS,6,0
JAILNAME_EPMSCANDES,6,0
HIJOS_MENORES,5,0
JAILNAME_EPMSCQUIBDO,4,0
DELITO_COMP_CALF_THEFT,4,0
JAILNAME_EPMSCAPARTADO,4,0
DELITO_COMP_TENT_AGRA_THEFT,4,0
DELITO_COMP_TRAFFICMANUFACTUREANDPORTIONOFFIREARMSORAMMUNITIONS,4,0
DELITO_COMP_TENT_AGRA_CALF_THEFT,4,0
ADULTO_MAYOR,4,0
JAILNAME_EPMSCYARUMAL,3,0
MARITALSTATUS_MARRIED,3,0
JAILNAME_EPMSCSONSON,3,0
JAILNAME_EPMSCPUERTOBERRIO,3,0
EDUC_LEVEL_Profesionalundergrad,2,0
DELITO_COMP_HOMICIDE,2,0
JAILNAME_CMPSJERICO,2,0
DELITO_COMP_OTHER,2,0
JAILNAME_EPMSCTITIRIBI,2,0
JAILNAME_EPMSCTAMESIS,2,0
JAILNAME_CPMSSANTODOMINGO,2,0
JAILNAME_CPAMSLAPAZ,2,0
JAILNAME_EPMSCSANTABARBARA,2,0
JAILNAME_EPMSCLACEJA,2,0
COUNTRY_VENEZUELA,1,0
DELITO_COMP_INTRAFAMILYVIOLENCE,1,0
COUNTRY_OTHER,1,0
JAILNAME_EPMSCBOLIVARANTIOQUIA,1,0
MADRE_LACTANTE,0,0
JAILNAME_RMCALI,0,0
REGIONALNME_NORTE,0,0
DISCAPACIDAD,0,0
JAILNAME_EPMSCCAUCASIA,0,0
JAILNAME_RMMEDELLIN,0,0
JAILNAME_RMGUAMO,0,0
REGIONALNME_CENTRAL,0,0
DELITO_COMP_AGRA_THEFT,0,0
JAILNAME_RMPICALEA,0,0
REGIONALNME_VIEJOCALDAS,0,0
REGIONALNME_OCCIDENTE,0,0
JAILNAME_EPMSCMANZANARES,0,0
JAILNAME_ERECOROZAL,0,0
DELITO_COMP_FOODABSENCE,0,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALMUJERES,0,0
EDUC_LEVEL_technicianqualifiedknowing,0,0
EDUC_LEVEL_Postgraduatecourse,0,0
EDUC_LEVEL_MasterDegree,0,0
EDUC_LEVEL_Illiterate,0,0
JAILNAME_ECPEDREGALMEDELLIN,0,0
JAILNAME_EPMSZAPATOCA,0,0
MARITALSTATUS_RELIGIOUS,0,0
JAILNAME_EPMSCSANTAROSADEOSOS,0,0
DELITO_COMP_TRAFFICMANUFACTUREANDPORTIONOFWEAPONSANDAMMUNITIONSFORTHEPRIVATIVEUSEOFTHEARMEDFORCES,0,0
DELITO_COMP_THEFT,0,0
DELITO_COMP_TENT_HOMICIDE,0,0
DELITO_COMP_TENT_CALF_THEFT,0,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDISINDICADOS,0,0
DELITO_COMP_RECEIVING,0,0
DELITO_COMP_PERSONALINJURIES,0,0
DELITO_COMP_MANUFACTURETRAFFICPORTIONORTENUREOFFIREARMSACCESSORIESPARTSORAMMUNITIONS,0,0
MARITALSTATUS_SEPARATED,0,0
year,245,1
GENERO,164,1
SEVERITY,148,1
timejail_day,129,1
MARITALSTATUS_SEPARATED,105,1
JAILNAME_EPAMSLADORADA,94,1
JAILNAME_EPMSCBUENAVENTURA,91,1
JAILNAME_CPMSESPINAL,88,1
JAILNAME_EPMSCRIOHACHA,88,1
JAILNAME_EPMSCDUITAMA,87,1
JAILNAME_EPMSCSANTAROSADEVITERBOJYPMUJERES,86,1
JAILNAME_EPMSCCARTAGO,86,1
JAILNAME_EPMSCARAUCA,86,1
JAILNAME_EPMSCQUIBDO,86,1
JAILNAME_EPAMSCASCOMBITA,86,1
JAILNAME_EPMSCGARZON,85,1
JAILNAME_EPMSCSANTANDERDEQUILICHAO,84,1
JAILNAME_EPMSCIPIALES,84,1
JAILNAME_EPMSCBARRANCABERMEJA,83,1
JAILNAME_EPMSCAPARTADO,82,1
JAILNAME_EPAMSCASVALLEDUPARERM,81,1
JAILNAME_EPMSCLACEJA,81,1
JAILNAME_CMSBARRANQUILLA,80,1
JAILNAME_EPMSCANDES,79,1
recidivism_day,78,1
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALMUJERES,74,1
REGIONALNME_VIEJOCALDAS,68,1
JAILNAME_EPMSCCALIERE,68,1
JAILNAME_EPMSCMEDELLIN,67,1
JAILNAME_CPMSBUCARAMANGAERE,64,1
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTAMUJERES,63,1
JAILNAME_CPAMSPALMIRA,62,1
JAILNAME_EPAMSCASPOPAYANERE,60,1
JAILNAME_CPMSTUNJA,60,1
JAILNAME_EPMSCCARTAGENA,59,1
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTACONDENADOS,59,1
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDICONDENADOS,59,1
MADRE_GESTANTE,58,1
JAILNAME_CAMISACACIAS,58,1
JAILNAME_CPAMSLAPAZ,57,1
JAILNAME_EPMSCOCANA,56,1
JAILNAME_RMPOPAYAN,54,1
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALSINDICADOS,54,1
EDUC_LEVEL_technologicalqualifiedknowing,53,1
