feature_name,feature_importance,label
timejail_day,4041,0
ANIO_NACIMIENTO,2748,0
SEVERITY,1409,0
year,1288,0
recidivism_day,825,0
EDUC_LEVEL_Secondcycle,130,0
MARITALSTATUS_SINGLE,100,0
EDUC_LEVEL_Thirdcycle,92,0
EDUC_LEVEL_Fourthcycle,91,0
MARITALSTATUS_FREEUNION,85,0
EDUC_LEVEL_Firstcycle,81,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODEBOGOTA,75,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEACONDENADOS,70,0
ACTIVIDADES_TRABAJO,69,0
DELITO_COMP_AGRA_CALF_THEFT,69,0
REGIONALNME_NOROESTE,68,0
MARITALSTATUS_UNDEFINED,63,0
JAILNAME_EPMSCSINCELEJO,63,0
DELITO_COMP_OTHER,61,0
JAILNAME_ECBOGOTA,60,0
ACTIVIDADES_ESTUDIO,55,0
JAILNAME_EPMSCPEREIRAERE,55,0
DELITO_COMP_MANUFACTURINGTRAFFICORSUPPORTOFNARCOTICS,54,0
JAILNAME_EPMSCIPIALES,54,0
JAILNAME_CPMSTULUA,53,0
JAILNAME_EPMSCMANIZALES,53,0
JAILNAME_RMBOGOTA,53,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDICONDENADOS,52,0
JAILNAME_CAMISACACIAS,51,0
JAILNAME_EPMSCNEIVA,51,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEAMUJERES,50,0
JAILNAME_EPMSCCALIERE,49,0
JAILNAME_EPMSCBUGA,49,0
DELITO_COMP_AGRA_CONCERTFORDELINQUIR,49,0
JAILNAME_EPMSCGIRARDOT,48,0
JAILNAME_RMPEREIRA,47,0
REGIONALNME_ORIENTE,46,0
JAILNAME_EPCCOMBITAMEDIANASEGURIDADBARNE,46,0
EDUC_LEVEL_technologicalqualifiedknowing,45,0
JAILNAME_EPMSCCALARCA,45,0
JAILNAME_EPMSCHONDA,45,0
JAILNAME_EPMSCMEDELLIN,45,0
COUNTRY_REPUBLICOFCOLOMBIA,44,0
GENERO,44,0
JAILNAME_CMSBARRANQUILLA,43,0
JAILNAME_EPAMSLADORADA,43,0
JAILNAME_EPMSCBARRANQUILLA,42,0
JAILNAME_EPMSCLAPLATA,42,0
JAILNAME_EPMSCPITALITO,42,0
JAILNAME_EPMSCSANTAMARTA,42,0
JAILNAME_EPMSCARMENIA,42,0
JAILNAME_EPCLAESPERANZADEGUADUAS,42,0
JAILNAME_EPMSCMONTERIA,41,0
JAILNAME_EPAMSCASPOPAYANERE,41,0
JAILNAME_EPAMSCASVALLEDUPARERM,41,0
JAILNAME_EPMSCSOGAMOSO,40,0
JAILNAME_RMBUCARAMANGA,40,0
JAILNAME_COMPLEJOIBAGUEPICALEA,40,0
JAILNAME_CPAMSPALMIRA,40,0
JAILNAME_RMPOPAYAN,40,0
JAILNAME_EPMSCSANTAROSADECABAL,40,0
JAILNAME_CPMSESPINAL,39,0
MARITALSTATUS_WIDOWER,39,0
JAILNAME_EPMSCMOCOA,39,0
JAILNAME_EPMSCVALLEDUPAR,38,0
JAILNAME_EPMSCGARZON,38,0
JAILNAME_EPMSCDUITAMA,38,0
JAILNAME_CPAMSLAPAZ,38,0
JAILNAME_EPMSCRMPASTO,38,0
JAILNAME_RMMANIZALES,37,0
JAILNAME_EPMSCSANTANDERDEQUILICHAO,37,0
JAILNAME_EPCYOPAL,37,0
MADRE_GESTANTE,37,0
JAILNAME_EPMSCFLORENCIA,37,0
JAILNAME_CPMSFUSAGASUGA,37,0
JAILNAME_EPMSCBUENAVENTURA,37,0
JAILNAME_EPCJAMUNDI,37,0
JAILNAME_EPMSCCARTAGO,36,0
JAILNAME_EPMSCCARTAGENA,35,0
JAILNAME_CPMSUBATE,35,0
JAILNAME_EPMSCSALAMINA,35,0
JAILNAME_CPMSPAZDEARIPORO,34,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDIRMUJERES,34,0
JAILNAME_RMARMENIA,33,0
JAILNAME_CPMSTUNJA,33,0
JAILNAME_EPLASHELICONIASDEFLORENCIA,32,0
JAILNAME_EPMSCSANTAROSADEVITERBOJYPMUJERES,32,0
JAILNAME_EPMSCANSERMA,31,0
JAILNAME_EPMSCSEVILLA,30,0
JAILNAME_EPMSCBOLIVARCAUCA,30,0
JAILNAME_EPMSCACACIAS,30,0
JAILNAME_EPMSCZIPAQUIRA,30,0
JAILNAME_EPMSCVILLAVICENCIO,30,0
EDUC_LEVEL_Postgraduatespecialization,30,0
JAILNAME_CPMSCHIQUINQUIRA,30,0
JAILNAME_EPMSCTIERRAALTA,30,0
JAILNAME_EPAMSCASCOMBITA,30,0
JAILNAME_EPMSCCUCUTAERE,29,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTASINDICADOS,29,0
JAILNAME_CPMSBUCARAMANGAERE,29,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTACONDENADOS,28,0
DELITO_COMP_TRAFFICMANUFACTUREANDPORTIONOFFIREARMSORAMMUNITIONS,28,0
HIJOS_MENORES,28,0
JAILNAME_EPMSCSANANDRES,27,0
JAILNAME_CPMSLAMESA,27,0
JAILNAME_EPMSCRIOHACHA,27,0
REGIONALNME_VIEJOCALDAS,27,0
JAILNAME_EPMSCAGUACHICA,27,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALMUJERES,27,0
JAILNAME_EPMSCPUERTOBOYACA,26,0
JAILNAME_EPMSCVELEZ,26,0
JAILNAME_EPMSCARAUCA,25,0
JAILNAME_EPAMSGIRON,25,0
JAILNAME_EPMSCBARRANCABERMEJA,25,0
JAILNAME_EPMSCMAGANGUE,24,0
MARITALSTATUS_MARRIED,24,0
EDUC_LEVEL_Illiterate,24,0
JAILNAME_EPMSCLETICIA,23,0
JAILNAME_CMSSANTAFEDEANTIOQUIA,23,0
DELITO_COMP_CONCERTFORDELINQUIR,22,0
JAILNAME_EPMSCISTMINA,22,0
JAILNAME_EPMSCQUIBDO,21,0
EDUC_LEVEL_Profesionalundergrad,21,0
JAILNAME_EPMSCLACEJA,21,0
ACTIVIDADES_ENSEANZA,20,0
JAILNAME_EPMSCSOCORRO,20,0
JAILNAME_EPMSCANDES,20,0
JAILNAME_EPMSCCHAPARRAL,19,0
JAILNAME_EPMSCGRANADA,19,0
JAILNAME_EPMSSANGIL,19,0
JAILNAME_EPMSRAMIRIQUI,18,0
REGIONALNME_CENTRAL,18,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIOMETROPOLITANODECUCUTAMUJERES,18,0
JAILNAME_CPMSPUERTOTRIUNFO,18,0
JAILNAME_EPMSCOCANA,18,0
JAILNAME_EPMSCPAMPLONA,17,0
DELITO_COMP_THEFT,17,0
JAILNAME_EPMSCAPARTADO,16,0
JAILNAME_CPMSCHOCONTA,16,0
JAILNAME_EPCGUAMO,16,0
DELITO_COMP_CALF_THEFT,16,0
JAILNAME_EPMSCCAQUEZA,16,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEMEDELLINPEDREGALSINDICADOS,15,0
JAILNAME_CPMSMONIQUIRA,15,0
DELITO_COMP_TENT_HOMICIDE,15,0
JAILNAME_EPMSCVILLETA,15,0
JAILNAME_EPMSCELBANCO,14,0
JAILNAME_EPMSCPUERTOBERRIO,14,0
JAILNAME_CPMSGARAGOA,14,0
JAILNAME_CPMSMELGAR,14,0
JAILNAME_EPMSCFACATATIVA,13,0
REGIONALNME_OCCIDENTE,13,0
JAILNAME_EPMSCTITIRIBI,12,0
JAILNAME_EPMSCYARUMAL,12,0
REGIONALNME_NORTE,12,0
JAILNAME_EPMSCSONSON,12,0
JAILNAME_CPMSSANTODOMINGO,12,0
JAILNAME_EPMSCCAUCASIA,12,0
EDUC_LEVEL_technicianqualifiedknowing,12,0
JAILNAME_EPMSCCAICEDONIA,12,0
JAILNAME_EPMSCLIBANO,12,0
JAILNAME_EPMSCBOLIVARANTIOQUIA,11,0
JAILNAME_EPMSCSANTABARBARA,11,0
JAILNAME_EPMSCFRESNO,11,0
JAILNAME_EPMSCTUQUERRES,11,0
JAILNAME_CMPSJERICO,11,0
ADULTO_MAYOR,11,0
DELITO_COMP_TENT_AGRA_THEFT,10,0
JAILNAME_EPMSCPUERTOTEJADA,10,0
JAILNAME_EPMSCMALAGA,10,0
JAILNAME_EPMSCTUMACO,10,0
JAILNAME_EPMSCELBORDO,10,0
DISCAPACIDAD,10,0
DELITO_COMP_AGRA_HOMICIDE,9,0
JAILNAME_EPMSCSANTAROSADEOSOS,9,0
DELITO_COMP_AGRA_THEFT,8,0
DELITO_COMP_HOMICIDE,8,0
JAILNAME_EPMSCTAMESIS,8,0
DELITO_COMP_TENT_AGRA_CALF_THEFT,8,0
DELITO_COMP_TENT_CALF_THEFT,8,0
JAILNAME_ECSABANALARGAERE,7,0
JAILNAME_EPMSCAGUADAS,7,0
JAILNAME_CPMSSANVICENTEDECHUCURI,7,0
JAILNAME_EPMSCRIOSUCIO,7,0
JAILNAME_EPMSCIBAGUEERE,7,0
JAILNAME_CPMSGACHETA,6,0
DELITO_COMP_PERSONALINJURIES,6,0
JAILNAME_EPMSCROLDANILLO,6,0
JAILNAME_EPMSCGUATEQUE,6,0
JAILNAME_EPMSCLAUNION,6,0
JAILNAME_CPMSPURIFICACION,6,0
JAILNAME_EPMSCPENSILVANIA,5,0
JAILNAME_EPMSCSILVIA,5,0
DELITO_COMP_TRAFFICMANUFACTUREANDPORTIONOFWEAPONSANDAMMUNITIONSFORTHEPRIVATIVEUSEOFTHEARMEDFORCES,5,0
MARITALSTATUS_SEPARATED,4,0
JAILNAME_EPMSCPACORA,3,0
DELITO_COMP_FOODABSENCE,3,0
JAILNAME_ECARMEROGUAYABAL,3,0
DELITO_COMP_MANUFACTURETRAFFICPORTIONORTENUREOFFIREARMSACCESSORIESPARTSORAMMUNITIONS,2,0
JAILNAME_RMDEJAMUNDI,2,0
DELITO_COMP_RECEIVING,2,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEIBAGUEPICALEASINDICADOS,1,0
DELITO_COMP_INTRAFAMILYVIOLENCE,1,0
COUNTRY_VENEZUELA,1,0
COUNTRY_OTHER,1,0
MARITALSTATUS_RELIGIOUS,0,0
JAILNAME_ECPEDREGALMEDELLIN,0,0
JAILNAME_RMPEDREGALMEDELLIN,0,0
MADRE_LACTANTE,0,0
MARITALSTATUS_DIVORCED,0,0
JAILNAME_RMPICALEA,0,0
EDUC_LEVEL_Profesionaltechnicianqualifiedknowing,0,0
JAILNAME_RMMEDELLIN,0,0
JAILNAME_EPMSZAPATOCA,0,0
JAILNAME_RMGUAMO,0,0
JAILNAME_RMCUCUTA,0,0
JAILNAME_RMCALI,0,0
JAILNAME_ERECOROZAL,0,0
JAILNAME_COMPLEJOCARCELARIOYPENITENCIARIODEJAMUNDISINDICADOS,0,0
EDUC_LEVEL_MasterDegree,0,0
JAILNAME_EPMSCCALOTO,0,0
EDUC_LEVEL_Postgraduatecourse,0,0
JAILNAME_EPMSCCIENAGA,0,0
JAILNAME_EPMSCMANZANARES,0,0
timejail_day,4004,1
ANIO_NACIMIENTO,2523,1
SEVERITY,1156,1
year,893,1
